ZipCode,City,StateCode,Zone,DeliveryDays
Postal Code,Place Name,State Abbreviation,,
01375,Sunderland,MA,Eastern,2
01376,Turners Falls,MA,Eastern,2
01378,Warwick,MA,Eastern,2
01379,Wendell,MA,Eastern,2
01380,Wendell Depot,MA,Eastern,2
01420,Fitchburg,MA,Eastern,2
01430,Ashburnham,MA,Eastern,2
01431,Ashby,MA,Eastern,2
01432,Ayer,MA,Eastern,2
01433,Ft Devens,MA,Eastern,2
01434,Devens,MA,Eastern,2
01436,Baldwinville,MA,Eastern,2
01438,East Templeton,MA,Eastern,2
01440,Gardner,MA,Eastern,2
01441,Gardner,MA,Eastern,2
01450,Groton,MA,Eastern,2
01451,Harvard,MA,Eastern,2
01452,Hubbardston,MA,Eastern,2
01453,Leominster,MA,Eastern,2
01460,Littleton,MA,Eastern,2
01462,Lunenburg,MA,Eastern,2
01463,Pepperell,MA,Eastern,2
01464,Shirley,MA,Eastern,2
01466,Ashburnham,MA,Eastern,2
01467,Still River,MA,Eastern,2
01468,Templeton,MA,Eastern,2
01469,Townsend,MA,Eastern,2
01470,Groton,MA,Eastern,2
01471,Groton,MA,Eastern,2
01472,West Groton,MA,Eastern,2
01473,Westminster,MA,Eastern,2
01474,West Townsend,MA,Eastern,2
01475,Winchendon,MA,Eastern,2
01477,Winchendon Springs,MA,Eastern,2
01501,Auburn,MA,Eastern,2
01503,Berlin,MA,Eastern,2
01504,Blackstone,MA,Eastern,2
01505,Boylston,MA,Eastern,2
01506,Brookfield,MA,Eastern,2
01507,Charlton,MA,Eastern,2
01508,Charlton City,MA,Eastern,2
01509,Charlton Depot,MA,Eastern,2
01510,Clinton,MA,Eastern,2
01515,East Brookfield,MA,Eastern,2
01516,Douglas,MA,Eastern,2
01517,East Princeton,MA,Eastern,2
01518,Fiskdale,MA,Eastern,2
01519,Grafton,MA,Eastern,2
01520,Holden,MA,Eastern,2
01521,Holland,MA,Eastern,2
01522,Jefferson,MA,Eastern,2
01523,Lancaster,MA,Eastern,2
01524,Leicester,MA,Eastern,2
01525,Linwood,MA,Eastern,2
01526,Manchaug,MA,Eastern,2
01527,Millbury,MA,Eastern,2
01529,Millville,MA,Eastern,2
01531,New Braintree,MA,Eastern,2
01532,Northborough,MA,Eastern,2
01534,Northbridge,MA,Eastern,2
01535,North Brookfield,MA,Eastern,2
01536,North Grafton,MA,Eastern,2
01537,North Oxford,MA,Eastern,2
01538,North Uxbridge,MA,Eastern,2
01539,Oakdale,MA,Eastern,2
01540,Oxford,MA,Eastern,2
01541,Princeton,MA,Eastern,2
01542,Rochdale,MA,Eastern,2
01543,Rutland,MA,Eastern,2
01545,Shrewsbury,MA,Eastern,2
01546,Shrewsbury,MA,Eastern,2
01550,Southbridge,MA,Eastern,2
01560,South Grafton,MA,Eastern,2
01561,South Lancaster,MA,Eastern,2
01562,Spencer,MA,Eastern,2
01564,Sterling,MA,Eastern,2
01566,Sturbridge,MA,Eastern,2
01568,Upton,MA,Eastern,2
01569,Uxbridge,MA,Eastern,2
01570,Webster,MA,Eastern,2
01571,Dudley,MA,Eastern,2
01580,Westborough,MA,Eastern,2
01581,Westborough,MA,Eastern,2
01582,Westborough,MA,Eastern,2
01583,West Boylston,MA,Eastern,2
01585,West Brookfield,MA,Eastern,2
01586,West Millbury,MA,Eastern,2
01587,Upton,MA,Eastern,2
01588,Whitinsville,MA,Eastern,2
01590,Sutton,MA,Eastern,2
01601,Worcester,MA,Eastern,2
01602,Worcester,MA,Eastern,2
01603,Worcester,MA,Eastern,2
01604,Worcester,MA,Eastern,2
01605,Worcester,MA,Eastern,2
01606,Worcester,MA,Eastern,2
01607,Worcester,MA,Eastern,2
01608,Worcester,MA,Eastern,2
01609,Worcester,MA,Eastern,2
01610,Worcester,MA,Eastern,2
01611,Cherry Valley,MA,Eastern,2
01612,Paxton,MA,Eastern,2
01613,Worcester,MA,Eastern,2
01614,Worcester,MA,Eastern,2
01615,Worcester,MA,Eastern,2
01653,Worcester,MA,Eastern,2
01654,Worcester,MA,Eastern,2
01655,Worcester,MA,Eastern,2
01701,Framingham,MA,Eastern,2
01702,Framingham,MA,Eastern,2
01703,Framingham,MA,Eastern,2
01704,Framingham,MA,Eastern,2
01705,Framingham,MA,Eastern,2
01718,Village Of Nagog Woods,MA,Eastern,2
01719,Boxborough,MA,Eastern,2
01720,Acton,MA,Eastern,2
01721,Ashland,MA,Eastern,2
01730,Bedford,MA,Eastern,2
01731,Hanscom Afb,MA,Eastern,2
01740,Bolton,MA,Eastern,2
01741,Carlisle,MA,Eastern,2
01742,Concord,MA,Eastern,2
01745,Fayville,MA,Eastern,2
01746,Holliston,MA,Eastern,2
01747,Hopedale,MA,Eastern,2
01748,Hopkinton,MA,Eastern,2
01749,Hudson,MA,Eastern,2
01752,Marlborough,MA,Eastern,2
01754,Maynard,MA,Eastern,2
01756,Mendon,MA,Eastern,2
01757,Milford,MA,Eastern,2
01760,Natick,MA,Eastern,2
01770,Sherborn,MA,Eastern,2
01772,Southborough,MA,Eastern,2
01773,Lincoln,MA,Eastern,2
01775,Stow,MA,Eastern,2
01776,Sudbury,MA,Eastern,2
01778,Wayland,MA,Eastern,2
01784,Woodville,MA,Eastern,2
01801,Woburn,MA,Eastern,2
01803,Burlington,MA,Eastern,2
01805,Burlington,MA,Eastern,2
01806,Woburn,MA,Eastern,2
01807,Woburn,MA,Eastern,2
01808,Woburn,MA,Eastern,2
01810,Andover,MA,Eastern,2
01812,Andover,MA,Eastern,2
01813,Woburn,MA,Eastern,2
01814,Reading,MA,Eastern,2
01815,Woburn,MA,Eastern,2
01821,Billerica,MA,Eastern,2
01822,Billerica,MA,Eastern,2
01824,Chelmsford,MA,Eastern,2
01826,Dracut,MA,Eastern,2
01827,Dunstable,MA,Eastern,2
01830,Haverhill,MA,Eastern,2
01831,Haverhill,MA,Eastern,2
01832,Haverhill,MA,Eastern,2
01833,Georgetown,MA,Eastern,2
01834,Groveland,MA,Eastern,2
01835,Haverhill,MA,Eastern,2
01840,Lawrence,MA,Eastern,2
01841,Lawrence,MA,Eastern,2
01842,Lawrence,MA,Eastern,2
01843,Lawrence,MA,Eastern,2
01844,Methuen,MA,Eastern,2
01845,North Andover,MA,Eastern,2
01850,Lowell,MA,Eastern,2
01851,Lowell,MA,Eastern,2
01852,Lowell,MA,Eastern,2
01853,Lowell,MA,Eastern,2
01854,Lowell,MA,Eastern,2
01860,Merrimac,MA,Eastern,2
01862,North Billerica,MA,Eastern,2
01863,North Chelmsford,MA,Eastern,2
01864,North Reading,MA,Eastern,2
01865,Nutting Lake,MA,Eastern,2
01866,Pinehurst,MA,Eastern,2
01867,Reading,MA,Eastern,2
01876,Tewksbury,MA,Eastern,2
01879,Tyngsboro,MA,Eastern,2
01880,Wakefield,MA,Eastern,2
01885,West Boxford,MA,Eastern,2
01886,Westford,MA,Eastern,2
01887,Wilmington,MA,Eastern,2
01888,Woburn,MA,Eastern,2
01889,North Reading,MA,Eastern,2
01890,Winchester,MA,Eastern,2
01899,Andover,MA,Eastern,2
01901,Lynn,MA,Eastern,2
01902,Lynn,MA,Eastern,2
01903,Lynn,MA,Eastern,2
01904,Lynn,MA,Eastern,2
01905,Lynn,MA,Eastern,2
01906,Saugus,MA,Eastern,2
01907,Swampscott,MA,Eastern,2
01908,Nahant,MA,Eastern,2
01910,Lynn,MA,Eastern,2
01913,Amesbury,MA,Eastern,2
01915,Beverly,MA,Eastern,2
01921,Boxford,MA,Eastern,2
01922,Byfield,MA,Eastern,2
01923,Danvers,MA,Eastern,2
01929,Essex,MA,Eastern,2
01930,Gloucester,MA,Eastern,2
01931,Gloucester,MA,Eastern,2
01936,Hamilton,MA,Eastern,2
01937,Hathorne,MA,Eastern,2
01938,Ipswich,MA,Eastern,2
01940,Lynnfield,MA,Eastern,2
01944,Manchester,MA,Eastern,2
01945,Marblehead,MA,Eastern,2
01947,Salem,MA,Eastern,2
01949,Middleton,MA,Eastern,2
01950,Newburyport,MA,Eastern,2
01951,Newbury,MA,Eastern,2
01952,Salisbury,MA,Eastern,2
01960,Peabody,MA,Eastern,2
01961,Peabody,MA,Eastern,2
01964,Peabody,MA,Eastern,2
01965,Prides Crossing,MA,Eastern,2
01966,Rockport,MA,Eastern,2
01969,Rowley,MA,Eastern,2
01970,Salem,MA,Eastern,2
01971,Salem,MA,Eastern,2
01982,South Hamilton,MA,Eastern,2
01983,Topsfield,MA,Eastern,2
01984,Wenham,MA,Eastern,2
01985,West Newbury,MA,Eastern,2
02018,Accord,MA,Eastern,2
02019,Bellingham,MA,Eastern,2
02020,Brant Rock,MA,Eastern,2
02021,Canton,MA,Eastern,2
02025,Cohasset,MA,Eastern,2
02026,Dedham,MA,Eastern,2
02027,Dedham,MA,Eastern,2
02030,Dover,MA,Eastern,2
02031,East Mansfield,MA,Eastern,2
